"","taxa_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","PC1"
"1705","7608d8e458e03be4050363caf7476a98","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XIII","[Eubacterium] nodatum group",NA,-0.0355604972669262
"491","20e4bbc32afb15e962030d9854eb0737","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] torques group","Ruminococcus lactaris CC59_002D",-0.035170042714227
"2008","8ab31203c6190600a8c12b2227cf9e58","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,-0.034852820263329
"3745","fe00557d9be1b0bc0b2838dbabfcbcb2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","UBA1819",NA,-0.034574697469668
"1974","88441d02eded019a515274aa1a4e1916","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA,-0.0339298516370692
"211","0e3af797ee049d33a81f34fc46fad134","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA,-0.0334817635362978
"1758","7953309dafe913113d1e1a0b24dcd71a","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0332831747592727
"1894","8271f006777061eb000b304531d07112","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","Intestinimonas butyriciproducens",-0.0332517071372833
"3626","f661dcfff9d994c88ef7e4ddcce3de8d","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA,-0.0330121523018789
"1855","7f8da592483f1b33e73b3b5d973e2630","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 4",NA,-0.0327996421367864
"3776","ff809f77d5df33d2c9a86d95edee6f76","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,-0.032677655547328
"1262","590d96dd16b1469f597f47a5d12c6f29","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.0323272673848928
"844","3998c574125db98e0e10b96c0cf5eea9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Hydrogenoanaerobacterium",NA,-0.0320856401860763
"2355","a118ae27df3adf40fd8ff3e351b9b291","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,-0.0319658706870481
"1984","8910605cbf2c36b6938af47f7e48dbfb","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides acidifaciens",-0.0315909515085026
"1359","60325ccba5c22e7d457099b8b3c023c2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA,-0.0314685368032657
"2296","9d047c851e941f20f7c93f5bc23b8b93","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",NA,NA,-0.0312463626112983
"3449","ead24ae86ae5772d858b6fb33b4233ec","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] gnavus group",NA,-0.0312242168961824
"737","32185368d0cfc4b36b55350aec2050b1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.031045038190302
"498","2123c3f767566a9929e19831ee8918fb","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,-0.0309773855088764
"837","3955fbbe4ef4e5d8200f6192cf7a9961","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","Eubacterium ramulus",-0.0309589639404177
"2642","b370a4af9d06013078178b71ac0f9935","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus 1",NA,-0.0305961777475354
"2908","c6ac3554fe67843da6a46b5c8ab6e22d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 3",NA,-0.0305738310365387
"3220","dd312c4b28b097dc61c353c998e88331","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium 5",NA,-0.0300837704668127
"3517","eef3997859b31db68a688e315ac683c1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0300450402424295
"1882","8180c31738efeaaf00fed71a6dc38e0c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,-0.0298655338025947
"634","2ac165f2a19f7fc1be7c53499f1f4f63","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1",NA,-0.0297714889976907
"3554","f122aea1d951f85e306111e0159aeb45","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",NA,-0.0297642186751324
"131","08f08d9dd0ae8a73b32f9b67a5776d1f","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,-0.0295976428622642
"2405","a3f934a6df2bc4766b90764dd34085b1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0293559178092038
"3448","ead09b4e6a0f3c77aec11867c93bcdef","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,-0.0292160859221045
"1149","4fb442ba257920dd129340aa7f6f4fc2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA,-0.0289840652894168
"2745","ba6aa94224f8d8e89caf4ac488941d78","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0287517523130322
"3115","d4e68fce4d07d8ac8e39e6f84dda454d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0287136404165825
"1961","87909032d96a2f84be8d837c2d32cebe","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Eubacterium] fissicatena group",NA,-0.0284789685385145
"3169","d93f4404581522813650d78757eaf371","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA,-0.0284571233121465
"2559","ae754e5898735b33df0441abc1868efe","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0284096620130069
"3236","de73dda13072baeb52c2c7e83b892cd7","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-003",NA,-0.0282242500723024
"3376","e74359dace8978c90e52b82ca2a2e2c4","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA,-0.0281865574303542
"1706","7612f3bb4efa7649f7a4cd04c7c91513","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania",NA,-0.0281832446637154
"658","2c913664256f19823420763ca16dc8ae","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",NA,-0.0280163439390032
"2838","c18fd83552a23caf1b243b1f921a120d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,-0.0277935907635777
"956","411dcd5b6b3a4b1ef5ba4139dc95ea52","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0277638449853789
"1328","5e1dadd0ff0b29f812e52c6b42b9fa26","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium",NA,-0.0274495992544357
"1823","7d6ebffc96e54f1f124061def640f831","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium 9",NA,-0.0274282731698754
"1528","6b5942e8cb08bfe49c4c6d8b0ed6b1a5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter",NA,-0.0272491402113503
"2289","9cc235f9b2b89eb6ed8f77ef890009a4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Eubacterium] hallii group",NA,-0.0270875951019276
"316","15a1957878f47f9f96c8b31c024233b6","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium 5",NA,-0.0270042363975534
"1764","796a202a2e777bc45229010f542058ce","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas",NA,-0.0264772165623432
"1276","5a5ff6d0d52914ea063b291f937978ee","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","Clostridium butyricum",-0.026365934459924
"189","0ca1e62da3ae9f4a02f0014fb6753280","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",NA,-0.026302671194458
"1433","64e1a83810f5e8b23458a6f4b5f7631a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,-0.0261509985876175
"2001","8a32837527332d2092e2e27dfdd9148b","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea",NA,-0.025992835922799
"1282","5a90d2af381562f600a5bf866f797d18","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA,-0.0258347706883576
"3578","f2d1fa1cc14dc1026ceb3a1df0b21c95","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,-0.0258305163391029
"2231","9893d80709708a3e4a877916d05c2a72","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0250356648699626
"1113","4cb0979b42a280dca662331306047e72","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","GCA-900066575",NA,-0.0249560822517646
"3616","f573b155e577d4623d9973f57a53837b","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.0247735880229053
"2958","ca2273b4a8160080607766fbe5dd5cd0","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,-0.0247433679150104
"502","2147f99a797160822036d49a463d7faa","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea",NA,-0.0245399717565805
"596","27e678c3c42edff793859bdb9d443d64","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","GCA-900066225",NA,-0.0244649423295361
"2545","adcd8dc4576142506e985078c871902a","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae UCG-004",NA,-0.0244373334411876
"2255","9a8c24747ca0d3771ea11dd500ddc0c8","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae UCG-003",NA,-0.0242954993251906
"1107","4c856b6cdef574e6368bcf171bf2b2ce","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0240432008237568
"2281","9ca30664548a41cccc4964bf6be8cc9c","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA,-0.0239562594610917
"2605","b149e8b9f08e1741ca15cc64aa0a4e78","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,-0.0238478122528088
"584","270f1e89305fe371b60586c656c51965","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,-0.0236676404459692
"1750","78e923fe06234cdafc70a47cd18e74d6","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus Soleaferrea",NA,-0.0236446692288466
"3608","f4d340c085ebb44cf19e928a07a8ba75","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0235353545331998
"2191","96161ad95bc739b35a0455064e220f3e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,-0.023500415980957
"971","4287e981d444d8dbc3e689dd2b3152e1","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA,-0.0234411190639611
"1941","85d8d597d963d94e937420d9163d69b6","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0234376912096856
"1298","5b9cc1c741c6fd49d37ea5fe6380b79d","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",NA,-0.023419474801822
"215","0eab2adab0b153ce50cd29d361ec9897","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0233767278655073
"3687","fa6a0cab04d4dd9d8890a4a7e145b611","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA,-0.0233321313273917
"162","0b07adbdd9608e998bd9b3c35eb2c647","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] torques group","Ruminococcus lactaris CC59_002D",-0.0230251121892658
"2379","a2618eb700136773c91263fb388aa4e3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",NA,-0.0229020134081593
"2826","c08f7014ba5e7f3eefed934da09b937e","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Adlercreutzia",NA,-0.0228097713608576
"261","11f971f80e3a3994eec3a9b6b215aa43","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",NA,-0.0226948026373257
"1864","7ff1881555c4149c12e53496ac5e5d53","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA,-0.0226777936987314
"3598","f436f303353ea683c9add766a2c8d320","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0224578401865785
"2260","9aefbb24582de8fca6a8568171a126fd","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium 9",NA,-0.0223525050791468
"29","01b60c5fc7927ad3564bf34ed50f776e","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales vadinBB60 group","Clostridiales bacterium enrichment culture clone 06-1235251-67","Clostridiales bacterium enrichment culture clone 06-1235251-67",-0.0223252849852589
"53","03efc8daf52a5e3706776ffd2327ac7c","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.0222463821809254
"1948","86a344a41130b80ccbc35bc8264797cc","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA,-0.0221886610562169
"3285","e1d509d39f5914d630769091cd5c1927","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Hydrogenoanaerobacterium",NA,-0.0221365624985957
"3700","faec22f93b744f550689c6d55ff306a3","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.022112366577536
"2990","cc02dbd3c9d9655585e3f32315ef9207","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.022019510238564
"3460","eb594bcf9b57f401fe3667d433bec224","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Eubacterium] hallii group",NA,-0.022013619588678
"2538","ad4cd5d588129069899b6d0c45e64102","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA,-0.0219940959261702
"467","1ecf2b12d836c85b854d6d43601cc970","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides","Clostridioides difficile",-0.0219916524664618
"1117","4d031dcebe39427cf5ce0610c37486af","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,-0.0219375842162935
"246","108d6552ba634f19289bb6460351e4a8","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","Clostridiales bacterium Marseille-P2846",-0.0219219060445693
"1800","7bce0a3246c87665a916f4c89405a61a","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA,-0.0217795392183043
"1749","78cf7618d193618f3ee395fb0e4f7610","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA,-0.0215967644259421
"1600","6f755bba469f940148214eba79a50a0c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",NA,-0.0215816094704645
"2575","af9d2a8e8b9b913eb6f8e2ec46e390ff","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0215500217389405
"2841","c1c3635d1b5b95b322c018bdc3ce3906","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group",NA,-0.0215035552429048
"1001","448f3214da373e07e9a55b89104d391c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hungatella",NA,-0.0214456939576896
"1731","77639040ddf2535611783dee508822dc","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Eubacterium] hallii group",NA,-0.0213943447089355
"2875","c3f146cf05139321708048533a3d9770","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","Eubacterium ramulus",-0.0213923908911024
"1459","672ae1bf72ed73a015880e7d79e80342","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,-0.0213806821290385
"2541","ad75b8b660983826e4521cf578b72751","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus] gauvreauii group",NA,-0.0213511632929082
"2709","b8013ca17d0185fd6ceeee107d15b884","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA,-0.021262785539344
"1587","6e4a0aa9b5a741ba37b737691cb2f922","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.021201376959615
"1374","61143439625764e98d254209f9d10304","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron",-0.0211185918000623
"318","15af5eea3d6f269449fdcd43f05b4681","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,"Frisingicoccus caecimuris",-0.021107127872391
"713","3094513ff0d9b030068d492a2800f6dc","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-003",NA,-0.0209260847975627
"1911","83f42d5f6e9aba758f78f285b18c2421","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-014",NA,-0.0207795884171552
"389","1a164a5261ab32269d8c3bd1f2f88af5","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter macacae",-0.0206787045194568
"222","0f0a59b7349e14a7ce0d5894d2402b78","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera",NA,-0.0206748863863792
"1765","797690bf569e1d88d606cea6377d9b7c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA,-0.020609292244573
"424","1c1825a1fba19c3bb743c85055768467","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter",NA,-0.0204731091637354
"3470","ebb871b4e0504b903d88cb9b6468c29e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-008",NA,-0.0204355153077067
"1364","60b0272ee02b99edb6d093916885b276","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Gordonibacter",NA,-0.0204256220867484
"459","1e5c0e58d04caebe0bf79bc3a256a341","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-013",NA,-0.0203968090330435
"2082","8f25123a88563c8e9c56caa0d7af998b","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.0203851938642653
"2679","b5c958a6ec12762245382cbb894924d6","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0202490699165547
"1100","4c0ea51bbb368a216f35578e8207b3d0","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1",NA,-0.0200920737460006
"1305","5c78491982586cbdf07e4acd9dcdb6c5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,-0.0200635684032656
"3396","e83ca87df6f8b299f28126325c87ecf5","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia","Alloscardovia macacae",-0.0200492084055142
"3771","ff579bda7da84e11385e30f8ccb4645c","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA,-0.0198304732862289
"1455","66ee047a3e7efabe8fa8891d1f32bfc1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium",NA,-0.0197341395770915
"127","08c197fa419d984c4d2b3927c1113f57","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,-0.0197264656936327
"2897","c5b346cbf657fd308d0801cee97398fa","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 4",NA,-0.0193133610591584
"186","0c9898828278c1184f5563c85478da5b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","Eubacterium ramulus",-0.0192896227548772
